job_name,job_company,job_region,job_exp,job_edu,job_salary,job_company_type,job_company_pernum
开发工程师,深圳市环球易购电子商务有限公司,深圳,3-5年,本科,10K-15K,上市公司,1000-9999人
（AI人工智能）开发实习生,北京百知教育科技有限公司,上海,经验不限,大专,8K-16K,股份制企业,500-999人
开发实习+五险一金,杭州凌聚网络科技有限公司,杭州,经验不限,大专,4K-6K,民营,100-499人
中级工程师,云润大数据服务有限公司,广州-天河区,3-5年,大专,10K-15K,民营,100-499人
开发爬虫项目,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
"对日软件开发(SAP,IOS,",比自特株式会社,天津,3-5年,本科,12K-24K,外商独资,20-99人
软件测试工程师（C++、java、,北京捷通华声科技股份有限公司,北京-海淀区,1-3年,本科,10K-20K,民营,100-499人
软件开发实习4k起+双休,深圳智联慧通技术有限公司,深圳,经验不限,大专,6K-8K,股份制企业,500-999人
开发工程师,上海鲲驰贸易发展有限公司,上海,1-3年,本科,10K-20K,民营,1000-9999人
开发工程师-数据平台(J10254),微医集团,杭州-萧山区,3-5年,本科,15K-20K,合资,1000-9999人
开发工程师,信必优(深圳)信息技术有限公司,广州-越秀区,3-5年,本科,14K-17K,外商独资,500-999人
高级开发工程师 (15000-30000),北京欣如信科技有限公司,成都-武侯区,经验不限,大专,15K-20K,股份制企业,500-999人
工程师,天津天航创力科技有限公司,天津,1-3年,大专,5K-10K,民营,20人以下
工程师,中软国际科技服务有限公司深圳分公司,北京-海淀区,1-3年,本科,薪资面议,上市公司,10000人以上
 开发工程师,文思海辉技术有限公司 Pactera Technology International Limited,深圳,无经验,学历不限,薪资面议,外商独资,10000人以上
工程师,深圳市拓保软件有限公司上海分公司,上海,3-5年,大专,9K-18K,民营,500-999人
工程师,上海怡科信息科技有限公司,杭州,经验不限,大专,6K-8K,民营,500-999人
开发工程师,云润大数据服务有限公司,广州-天河区,1-3年,大专,6K-8K,民营,100-499人
开发实习生,北京欣如信科技有限公司,成都,经验不限,大专,6K-8K,股份制企业,500-999人
