测试工程师,珠海市乐云付科技有限公司深圳分公司,深圳,3-4年经验,本科,1-2万/月
人工智能工程师,广东车海洋环保科技有限公司,广州,3-4年经验,本科,1.5-2万/月
IT Helpdesk工程师（工作地点：徐家汇）,上海必胜客有限公司,上海-徐汇区,无工作经验,本科,0.8-1万/月
大数据挖掘工程师（Java方向）,青岛米果网络有限公司,青岛-市北区,1年经验,大专,0.5-1万/月
System Administrator（Linux）,维塔士电脑软件（成都）有限公司,成都,无工作经验,大专,0.8-1万/月
软件测试工程师(职位编号：4),中慧瑞景（北京）智能软件科技有限公司,北京-石景山区,3-4年经验,本科,1.5-2.5万/月
C/C++软件开发工程师,南京思创信息技术有限公司,南京-鼓楼区,3-4年经验,本科,0.8-1.5万/月
大数据架构师,无锡英臻科技有限公司,无锡,无工作经验,招若干人,1.8-2.5万/月
大数据开发工程师,深圳市世联土地房地产评估有限公司,武汉-洪山区,3-4年经验,本科,0.7-1万/月
运维工程师,深圳市秦丝科技有限公司,深圳-南山区,1年经验,本科,0.7-1.2万/月
PHP开发工程师,重庆市瑞德铭科技发展有限公司成都分公司,深圳-南山区,2年经验,本科,1-2万/月
研发总监/经理（技术合伙人）,重庆睿力诚科技有限公司,重庆-渝北区,8-9年经验,本科,1.5-2.5万/月
大数据高级工程师,成都卡莱博尔信息技术股份有限公司,成都,5-7年经验,本科,1.5-2.5万/月
高级算法工程师（年薪40W）,新华人寿保险股份有限公司西安市长安路支公司,西安-雁塔区,5-7年经验,本科,40-50万/年
储能工程师（pcs）,南京阿贝斯信息科技有限公司,南京-建邺区,1年经验,本科,0.8-1.6万/月
运维人员,云南倚天绿色能源科技集团有限公司,昆明,无工作经验,大专,5-6千/月
系统运维工程师,广州致讯信息科技有限责任公司,广州-黄埔区,3-4年经验,大专,0.6-1.5万/月
运维主管/运维经理,广东明世教育集团有限公司,广州-番禺区,5-7年经验,本科,1-2万/月
IT Cloud Engineer/IT云平台工程师,宏居网络技术（上海）有限公司,上海,5-7年经验,本科,2.5-3.5万/月
软件测试工程师Software Test Engineer,上海华屹数码科技有限公司,上海-徐汇区,2年经验,本科,1-1.5万/月
信息安全系统工程师（印度）,格创东智（深圳）科技有限公司,深圳-光明新区,无工作经验,招若干人,
算法工程师,北京煜邦电力技术股份有限公司,北京,2年经验,本科,1.5-2.5万/月
软件测试工程师,山东省社会组织云中心,济南-高新区,2年经验,本科,5-8千/月
软件测试工程师,音王电声股份有限公司,北京-丰台区,3-4年经验,本科,0.8-1.5万/月
Java后端开发工程师,赛特斯信息科技股份有限公司,南京,5-7年经验,本科,1-2万/月
高级测试工程师,百视通网络电视技术发展有限责任公司,北京,3-4年经验,本科,1-1.5万/月
运维工程师,北京滴普科技有限公司,广州-天河区,5-7年经验,大专,5-9千/月
需求分析,南京斐哲信息科技有限公司,南京-江宁区,3-4年经验,大专,1-1.5万/月
数据工程师,上海跨境通国际贸易有限公司,上海-宝山区,3-4年经验,本科,1.5-2.5万/月
U3d主程,成都介凯数字科技有限公司,成都-高新区,无工作经验,招8人,1-3.5万/月
平台运维工程师,福建星网智慧科技股份有限公司,福州,无工作经验,招5人,0.7-1万/月
机器人老师,常州市昂立教育培训中心,无锡-江阴市,1年经验,本科,3-4.5千/月
电子工程师,华芯半导体研究中心（广州）有限公司,广州-南沙区,3-4年经验,硕士,15-20万/年
高级运维工程师（互联网大健康项目）,融众资本投资集团有限公司,武汉-洪山区,5-7年经验,本科,1-1.5万/月
大数据架构师,南京浩铮澜医疗器械有限公司,南京-建邺区,5-7年经验,本科,30-40万/年
遥感图像算法工程师,苏州工业园区测绘地理信息有限公司,苏州-工业园区,无工作经验,硕士,6-8千/月
系统架构师,深圳曼顿科技有限公司,深圳-南山区,3-4年经验,本科,2.5-3.5万/月
网络工程师,杭州鲍洱机电有限公司,杭州-滨江区,2年经验,本科,6-8千/月
数据仓库工程师,北京天之华软件系统技术有限责任公司,北京-海淀区,5-7年经验,本科,2-3万/月
研发总监,深圳前海翼联科技有限公司,深圳-南山区,2年经验,本科,2-4万/月
云平台开发工程师,昆明龙慧科技有限公司,昆明,1年经验,本科,0.8-1万/月
IT Application Business Analyst,昆山杜克大学,昆山,5-7年经验,本科,8-8.9千/月
C++开发工程师,无锡卓信信息科技股份有限公司南京分公司,南京-玄武区,无工作经验,招5人,1.2-1.8万/月
前端开发工程师,广州市太易国际旅行社有限公司,广州-越秀区,2年经验,本科,6-8千/月
运维工程师,深圳博为教育科技有限公司,深圳-南山区,1年经验,大专,0.8-1万/月
iOS高级开发工程师,上海晓材科技有限公司,上海,2年经验,本科,1-1.5万/月
测试工程师,尚阳科技股份有限公司,广州,1年经验,本科,6-8千/月
运维工程师,北京思特奇信息技术股份有限公司安徽分公司,合肥-蜀山区,无工作经验,招3人,0.6-1万/月
大数据java开发,北京聚源锐思数据科技有限公司,北京-海淀区,3-4年经验,本科,1.5-2万/月
渗透测试工程师,海南科澜科技有限公司,海口,无工作经验,本科,4-7千/月
视觉软件工程师,苏州科立捷智能装备有限公司,青岛-城阳区,1年经验,硕士,0.8-1.5万/月
应用研究员（遥感方向）,深圳市博安达信息技术股份有限公司,深圳-南山区,无工作经验,本科,0.7-1.5万/月
Web前端开发工程师,图学惠科（武汉）教育研究院（有限合伙）,武汉-洪山区,无工作经验,招3人,5-8千/月
中级软件开发,烟台星商电子商务有限公司,烟台,无工作经验,招5人,5-8千/月
图像标注师,深圳哲彦信息技术有限公司,深圳-福田区,无工作经验,大专,4.5-6千/月
视觉算法工程师,浙江源态环保科技服务有限公司,杭州-江干区,5-7年经验,本科,0.8-1.3万/月
数据分析助理+班车,青岛沃隆食品有限公司,青岛,1年经验,大专,4.5-6千/月
官网运维工程师,遨森电子商务股份有限公司,宁波-镇海区,3-4年经验,本科,10-15万/年
Web实习生,十一维度科技有限责任公司,邵阳,无工作经验,招1人,1.5千以下/月
大数据开发工程师,火星人厨具股份有限公司,杭州-下城区,3-4年经验,硕士,3-4万/月
Architect(职位编号：1012673),微软销售市场和服务集团 （SMSG）,上海,10年以上经验,本科,
Senior Software Engineer(职位编号：1012516),微软应用与服务部门（ASG）,苏州,2年经验,硕士,
自然语言处理研发工程师,北京广而告之网讯传媒有限公司,北京-西城区,3-4年经验,本科,2.5-3万/月
大数据开发经理,安克创新科技股份有限公司深圳分公司,深圳-南山区,5-7年经验,本科,1.8-2.8万/月
数据库工程师,南京安智易达智能科技有限公司,南京-江宁区,3-4年经验,大专,10-15万/年
ROS机器人算法工程师,四川驹马科技有限公司,成都-锦江区,3-4年经验,大专,1.5-3万/月
量化策略研究员（实习/全职）(职位编号：H2018-ET0802),上海大雁资产管理中心 （有限合伙）,上海-浦东新区,无工作经验,硕士,30-60万/年
电子工程师/工程助理,深圳光台实业有限公司,深圳,无工作经验,大专,5-8千/月
DevOps运维工程师,上海益玩网络科技有限公司广州分公司,广州,3-4年经验,本科,2-2.5万/月
数据分析师,北京阳光海天停车管理有限公司,北京,无工作经验,本科,1-1.5万/月
服务器和系统运维岗,深圳市城市公共安全技术研究院有限公司,深圳-福田区,3-4年经验,本科,1-2万/月
测试工程师,广州博控自动化技术有限公司,广州-天河区,3-4年经验,大专,5-8千/月
AI 工程师,苏州睿电电子科技有限公司,苏州-工业园区,2年经验,本科,1-2万/月
（高级）财务系统专员,百胜咨询（上海）有限公司,上海-徐汇区,3-4年经验,本科,1-2万/月
研发经理,深圳市易达恒通供应链管理有限公司,深圳-福田区,3-4年经验,大专,2-2.5万/月
SAP运维主管,乐宜嘉家居集团有限公司,中山,3-4年经验,大专,1-1.5万/月
售前工程师-富春云(J10363),浙报数字文化集团股份有限公司,杭州-下城区,3-4年经验,本科,1.2-1.8万/月
云平台运维工程师,深圳市汇通合力科技股份有限公司,深圳,3-4年经验,大专,1-1.5万/月
无人车算法工程师,广州极飞科技有限公司,广州-天河区,无工作经验,硕士,1.2-2.4万/月
系统运维工程师,上海大牧汗食品股份有限公司,上海-宝山区,2年经验,本科,1-1.2万/月
自动驾驶测试工程师,合加新能源汽车有限公司,咸宁,1年经验,本科,10-15万/年
